Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
oedema6,cmr,,checkbox, basal anterolateral,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema7,cmr,,checkbox, mid anterior,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema8,cmr,,checkbox, mid anteroseptal,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema9,cmr,,checkbox, mid inferoseptal,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema10,cmr,,checkbox, mid inferior,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema11,cmr,,checkbox, mid inferolateral,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema12,cmr,,checkbox, mid anterolateral,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema13,cmr,,checkbox, apical anterior,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema14,cmr,,checkbox, apical septal,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema15,cmr,,checkbox, apical inferior,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema16,cmr,,checkbox, apical lateral,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
oedema17,cmr,,checkbox, apex,"1, sub-endo | 2, mid-wall | 3, sub-epi | 4, transmural",,,,,,[stir_oedema_presence_cmr] = '1',,,,stir_oedema_cmr,,
global_t2_cmr,cmr,,text,Global T2,,,,,,,,,,,,,
t2_mapping_elevated_cmr,cmr,,yesno,Presence of elevated T2 mapping foci,,,,,,,,,,,,,
high_t2_location_cmr,cmr,,checkbox,Segments with high T2,"1, basal anterior | 2, basal anteroseptal | 3, basal inferoseptal | 4, basal inferior | 5, basal inferolateral | 6, basal anterolateral | 7, mid anterior | 8, mid anteroseptal | 9, mid inferoseptal | 10, mid inferior | 11, mid inferolateral | 12, mid anterolateral | 13, apical anterior | 14, apical septal | 15, apical inferior | 16, apical lateral | 17, apex",,,,,,[t2_mapping_elevated_cmr] = '1',,,,,,
pericardial_oedema_cmr,cmr,Pericardium,yesno,pericardial oedema T2+,,,,,,,,,,,,,
pericardial_lge_cmr,cmr,,yesno,pericardial LGE+,,,,,,,,,,,,,
vers_peri_cmr,cmr,,yesno,pericardial effusion ,,,,,,,,,,,,,
ver_per_dim_cmr,cmr,,text,pericardial effusion  max dimensions,,,number,,,,[vers_peri_cmr] = '1',,,,,,
comments_cmr,cmr,,notes,comments       ,,,,,,,,,,,,,
hr_cmr,cmr,,text,Heart Rate,,,number,,,,,,,,,,
lvedv_cmr,cmr,Ventricular and Atrial Volumes and Function,text,LVEDV (ml),,,number,,,,,,,,,,
lvesv_cmr,cmr,,text,LVESV (ml),,,number,,,,,,,,,,
lvsv_cmr,cmr,,text,LVSV (ml)        ,,,number,,,,,,,,,,
lvef_cmr,cmr,,text,LVEF (%)      ,,,number,,,,,,,,,,
lvco_cmr,cmr,,calc,LVCO (l/min),"round([hr_cmr]*[lvsv_cmr]/1000, 2)",,,,,,,,,,,,
lvci_cmr,cmr,,calc,LVCI (l/min/m2),"round([lvco_cmr]/[bsa], 2)",,,,,,,,,,,,
lv_mass_cmr,cmr,,text,LV mass (g),,,number,,,,,,,,,,
lvedvi_cmr,cmr,,calc,LVEDVi (ml/m2)          ,"round([lvedv_cmr]/[bsa], 2)",,,,,,,,,,,,
lvesvi_cmr,cmr,,calc,LVESVi (ml/m2)          ,"round([lvesv_cmr]/[bsa], 2)",,,,,,,,,,,,
lvsvi_cmr,cmr,,calc,LVSVi (ml/m2),"round([lvsv_cmr]/[bsa],2)",,,,,,,,,,,,
lvmi_cmr,cmr,,calc,LV mass index (g/m2)        ,"round([lv_mass_cmr]/[bsa], 2)",,,,,,,,,,,,
rvedv_cmr,cmr,,text,RVEDV (ml),,,number,,,,,,,,,,
rvesv_cmr,cmr,,text,RVESV (ml),,,number,,,,,,,,,,
rvsv_cmr,cmr,,text,RVSV (ml)        ,,,number,,,,,,,,,,
rvef_cmr,cmr,,text,RVEF (%)      ,,,number,,,,,,,,,,
rvco_cmr,cmr,,calc,RVCO (l/min),"round([hr_cmr]*[rvsv_cmr]/1000, 2)",,,,,,,,,,,,
rvci_cmr,cmr,,calc,RVCI (l/min/m2),"round([rvco_cmr]/[bsa], 2)",,,,,,,,,,,,
rvedvi_cmr,cmr,,calc,RVEDVi (ml/m2)          ,"round([rvedv_cmr]/[bsa], 2)",,,,,,,,,,,,
rvesvi_cmr,cmr,,calc,RVESVi (ml/m2)          ,"round([rvesv_cmr]/[bsa], 2)",,,,,,,,,,,,
rvsvi_cmr,cmr,,calc,RVSVi (ml/m2),"round([rvsv_cmr]/[bsa], 2)",,,,,,,,,,,,
mapseinf_cmr,cmr,,text,MAPSE Inferior,,,,,,,,,,,,,
mapseant_cmr,cmr,,text,MAPSE Anterior,,,,,,,,,,,,,
mapselat_cmr,cmr,,text,MAPSE Lateral,,,,,,,,,,,,,
mapsesep_cmr,cmr,,text,MAPSE Septal,,,,,,,,,,,,,
tapse_cmr,cmr,,text,TAPSE,,,,,,,,,,,,,
min_la_vol_cmr,cmr,,text,Min LA Volume,,,,,,,,,,,,,
max_la_vol_cmr,cmr,,text,Max LA Volume,,,,,,,,,,,,,
min_la_vol_index_cmr,cmr,,calc,Min LA Vol/BSA,"round([min_la_vol_cmr]/[bsa], 2)",,,,,,,,,,,,
max_la_vol_index_cmr,cmr,,calc,Max LA Vol/BSA,"round([max_la_vol_cmr]/[bsa], 2)",,,,,,,,,,,,
la_ef_cmr,cmr,,text,LA EF (%),,,,,,,,,,,,,
sax_gcs_cmr,cmr,Strain Module,text,SAX Global Circumferential Strain,,,,,,,,,,,,,
sax_grs_cmr,cmr,,text,SAX Global Radial Strain,,,,,,,,,,,,,
lax_gls_cmr,cmr,,text,LAX Global Longitudinal Strain,,,,,,,,,,,,,
lax_grs_cmr,cmr,,text,LAX Global Radial Strain,,,,,,,,,,,,,
total_forward_volume_ao_cmr,cmr,Flow 2D - Systemic Flow<br><br>,text,Total Forward Volume,,,number,,,,,,,,,,
total_backward_volume_ao_cmr,cmr,,text,Total Backward Volume,,,,,,,,,,,,,
total_volume_ao_cmr,cmr,,text,Total Volume,,,,,,,,,,,,,
regurgitation_fraction_ao_cmr,cmr,,text,Regurgitation Fraction,,,,,,,,,,,,,
vol_min_ao_cmr,cmr,,text,Vol/min,,,,,,,,,,,,,
max_pressure_gradient_ao_cmr,cmr,,text,Max Pressure Gradient,,,,,,,,,,,,,
mean_pressure_gradient_ao_cmr,cmr,,text,Mean Pressure Gradient,,,,,,,,,,,,,
maximum_velocity_ao_cmr,cmr,,text,Maximum Velocity (1x1 px),,,,,,,,,,,,,
mr_cmr,cmr,,yesno,mitral regurgitation,,,,,,,,,,,,,
mr_fraction_cmr,cmr,,text,mitral regurgitant fraction,,,number,,,,[mr_cmr] = '1',,,,,,
mr_vol_cmr,cmr,,text,mitral regurgitant volume,,,number,,,,[mr_cmr] = '1',,,,,,
total_forward_volume_pa_cmr,cmr,Flow 2D - Pulmonary Flow,text,Total Forward Volume,,,number,,,,,,,,,,
total_backward_volume_pa_cmr,cmr,,text,Total Backward Volume,,,,,,,,,,,,,
total_volume_pa_cmr,cmr,,text,Total Volume,,,,,,,,,,,,,
regurgitation_fraction_pa_cmr,cmr,,text,Regurgitation Fraction,,,,,,,,,,,,,
vol_min_pa_cmr,cmr,,text,Vol/min,,,,,,,,,,,,,
max_pressure_gradient_pa_cmr,cmr,,text,Max Pressure Gradient,,,,,,,,,,,,,
mean_pressure_gradient_pa_cmr,cmr,,text,Mean Pressure Gradient,,,,,,,,,,,,,
maximum_velocity_pa_cmr,cmr,,text,Maximum Velocity (1x1 px),,,,,,,,,,,,,
tr_cmr,cmr,,yesno,Tricuspid regurgitation,,,,,,,,,,,,,
tr_fraction_cmr,cmr,,text,Tricuspid regurgitant fraction,,,number,,,,[tr_cmr] = '1',,,,,,
tr_vol_cmr,cmr,,text,Tricuspid regurgitant volume,,,number,,,,[tr_cmr] = '1',,,,,,
qp_qs_cmr,cmr,,text,Qp/Qs Volume,,,,,,,,,,,,,
